title,description,category,subcategory,priority,department
Please assist urgently. Emails stuck in Outbox and not sending,Outgoing messages with or without attachments stay in Outbox indefinitely. This is blocking my daily tasks.,Email,Email Not Sending,CRITICAL,Email Support
Outlook stuck on 'Loading Profile' splash,Outlook desktop client does not open past the profile loading screen.,Email,Outlook Problem,MEDIUM,Email Support
Help needed: Salesforce desktop plugin crashing Outlook,Add-in for Salesforce causes Outlook to hang during startup in safe mode. Kindly look into this as soon as possible.,Software,Application Crash,HIGH,Software Support
FYI for the helpdesk team. Reverse DNS lookup failure,Mail server is failing reverse PTR checks causing outgoing emails to bounce. Multiple teammates are experiencing this as well.,Network,DNS,HIGH,Network Support
FYI for the helpdesk team. Outlook disconnected from Exchange server,Status bar in Outlook constantly displays Disconnected or Trying to connect. Multiple teammates are experiencing this as well.,Email,Outlook Problem,HIGH,Email Support
Need immediate help with this. WiFi adapter not recognized in laptop,Windows Device Manager shows a yellow exclamation mark next to Intel WiFi 6 AX201. Occurred right after rebooting.,Network,WiFi,LOW,Network Support
Urgent assistance required: Floor 2 HP LaserJet paper jam error 13.00,Paper is stuck in tray 2 and the printer display says Jam in Cartridge Area. Error code was captured in screenshot.,Hardware,Printer,MEDIUM,Hardware Support
Help needed: Second monitor not detected by docking station,Laptop only outputs to built-in screen; external display says No Signal. Kindly look into this as soon as possible.,Hardware,Monitor,MEDIUM,Hardware Support
No internet access on workstation,"Ethernet cable is plugged in, link lights are on, but cannot browse any websites.",Network,Internet Connectivity,HIGH,Network Support
Please assist urgently. USB thumb drive found in parking lot plugged in by mistake,An employee plugged an unknown USB drive found outside into their desktop. This is blocking my daily tasks.,Security,Security Incident,CRITICAL,Security
Please assist urgently. External monitor flickering continuously,Dell 27-inch monitor flickers black every 5 seconds over HDMI and DisplayPort. This is blocking my daily tasks.,Hardware,Monitor,MEDIUM,Hardware Support
Outlook disconnected from Exchange server,Status bar in Outlook constantly displays Disconnected or Trying to connect.,Email,Outlook Problem,LOW,Email Support
Hyper-V host hardware purple screen of death,Host server running 15 virtual machines crashed due to memory parity error.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Escalation: Excel crashing when opening financial report,Opening large 50MB spreadsheet causes Excel to crash with Exception code 0xc0000005. Impacting ongoing customer deliverables.,Software,Application Crash,HIGH,Software Support
Help needed: Outlook stuck on 'Loading Profile' splash,Outlook desktop client does not open past the profile loading screen. Kindly look into this as soon as possible.,Email,Outlook Problem,HIGH,Email Support
Escalation: Jira and Confluence project space permissions,Need edit permissions in Jira project board SRE and team documentation space. Impacting ongoing customer deliverables.,Account & Access,Access Request,MEDIUM,IT Helpdesk
Urgent assistance required: Monitor resolution stuck at 1024x768,Display settings won't allow switching to native 2560x1440 resolution. Error code was captured in screenshot.,Hardware,Monitor,MEDIUM,Hardware Support
Receiving multiple targeted phishing emails,Several staff members received email asking to verify credentials urgently.,Email,Spam,MEDIUM,Email Support
AutoCAD freezing on startup splash screen,AutoCAD 2024 hangs at 'Checking license...' and then terminates silently.,Software,Application Crash,HIGH,Software Support
Database replica lag exceeded 30 minutes,Read replica in secondary region is falling behind master causing stale reads.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
FYI for the helpdesk team. Workstation displaying weird popups and opening browsers,Browser windows opening automatically to gambling and ad sites every 30 seconds. Multiple teammates are experiencing this as well.,Security,Malware,CRITICAL,Security
Urgent assistance required: Active Directory domain controller replication failed,DC02 is failing Kerberos authentication and replication sync with primary DC01. Error code was captured in screenshot.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Issue started this morning. USB-C docking station ports not working,USB flash drives plugged into dock front ports are not detected by Windows. Restarting the system did not resolve the problem.,Hardware,Peripherals,LOW,Hardware Support
FYI for the helpdesk team. Outgoing emails blocked by spam filter,Sent emails are bouncing with SPF/DKIM validation failure message. Multiple teammates are experiencing this as well.,Email,Email Not Sending,MEDIUM,Email Support
FYI for the helpdesk team. Ethernet port on wall plate not working,Plugging into jack D-14 at desk 42 does not provide link light or IP address. Multiple teammates are experiencing this as well.,Network,Internet Connectivity,HIGH,Network Support
Slack crashes every time a call starts,Joining huddles in Slack causes the app to terminate immediately on Windows 11.,Software,Application Crash,MEDIUM,Software Support
Entered credentials on fake login page,"Realized after submitting password that the URL was secure-login-verify.xyz, not company domain.",Security,Phishing,HIGH,Security
Help needed: Remote access VPN speed extremely slow,VPN connection is established but speeds are below 50 Kbps making it impossible to work. Kindly look into this as soon as possible.,Network,VPN,HIGH,Network Support
Escalation: Certificate error when joining 802.1x WiFi,Device prompts for RADIUS server certificate trust and refuses to connect. Impacting ongoing customer deliverables.,Network,WiFi,HIGH,Network Support
Confidential customer data sent to wrong external email address,Mistakenly autofilled incorrect recipient and sent quarterly client PII spreadsheet.,Security,Security Incident,HIGH,Security
Escalation: Session hijacked on corporate portal,Activity log indicates active session while I was asleep and laptop was powered off. Impacting ongoing customer deliverables.,Security,Suspicious Login,CRITICAL,Security
Need immediate help with this. Tableau Desktop license activation error,Tableau activation server unreachable error when activating license key. Occurred right after rebooting.,Software,License Issue,MEDIUM,Software Support
Floor 2 HP LaserJet paper jam error 13.00,Paper is stuck in tray 2 and the printer display says Jam in Cartridge Area.,Hardware,Printer,LOW,Hardware Support
VPN authentication failed,Entering my credentials but VPN says authentication error even though password is correct.,Network,VPN,MEDIUM,Network Support
Help needed: Jabra headset microphone not capturing audio,Can hear callers in Teams meeting but microphone picks up no sound. Kindly look into this as soon as possible.,Hardware,Peripherals,LOW,Hardware Support
macOS Sonoma update bricked display output,"After applying OS patch, secondary monitors are no longer detected.",Software,Update Issue,MEDIUM,Software Support
Workstation displaying weird popups and opening browsers,Browser windows opening automatically to gambling and ad sites every 30 seconds.,Security,Malware,HIGH,Security
Escalation: Entered credentials on fake login page,"Realized after submitting password that the URL was secure-login-verify.xyz, not company domain. Impacting ongoing customer deliverables.",Security,Phishing,CRITICAL,Security
Issue started this morning. Wireless mouse scroll wheel broken,Logitech wireless mouse scroll wheel is spinning freely without scrolling. Restarting the system did not resolve the problem.,Hardware,Peripherals,LOW,Hardware Support
User account disabled message on Windows login,Screen shows 'Your account has been disabled. Please see your system administrator.',Account & Access,Login Problem,HIGH,IT Helpdesk
Suspicious CEO gift card request email,Email purporting to be from CEO asking for employee cell phone numbers.,Email,Spam,MEDIUM,Email Support
Issue started this morning. DNS lookup failed for external domains,Can ping 8.8.8.8 directly by IP but cannot resolve google.com or office.com. Restarting the system did not resolve the problem.,Network,Internet Connectivity,CRITICAL,Network Support
No internet access on workstation,"Ethernet cable is plugged in, link lights are on, but cannot browse any websites.",Network,Internet Connectivity,CRITICAL,Network Support
FYI for the helpdesk team. macOS Sonoma update bricked display output,"After applying OS patch, secondary monitors are no longer detected. Multiple teammates are experiencing this as well.",Software,Update Issue,HIGH,Software Support
WiFi adapter not recognized in laptop,Windows Device Manager shows a yellow exclamation mark next to Intel WiFi 6 AX201.,Network,WiFi,HIGH,Network Support
Urgent assistance required: Production database query deadlocks causing timeouts,Multiple transactions on orders table deadlocking and aborting checkout flows. Error code was captured in screenshot.,Server / Infrastructure,Database Issue,HIGH,Infrastructure
Please install Adobe Acrobat Pro,I need to edit and sign PDF contracts for clients; standard Reader is insufficient.,Software,Software Installation,LOW,Software Support
"Escalation: New phone, need MFA Authenticator reset",I upgraded my smartphone and lost Microsoft Authenticator app 2FA tokens. Impacting ongoing customer deliverables.,Account & Access,MFA,MEDIUM,IT Helpdesk
Escalation: Important client email delayed by 8 hours,Incoming emails are queuing up in mail gateway with severe delivery latency. Impacting ongoing customer deliverables.,Email,Email Not Receiving,CRITICAL,Email Support
Help needed: VPN certificate expired,Error message says client certificate has expired and needs renewal from network admin. Kindly look into this as soon as possible.,Network,VPN,HIGH,Network Support
FYI for the helpdesk team. Nightly automated database backup failed,Veeam / pg_dump job terminated with exit code 1; snapshot could not be committed. Multiple teammates are experiencing this as well.,Server / Infrastructure,Backup,HIGH,Infrastructure
Issue started this morning. Database replica lag exceeded 30 minutes,Read replica in secondary region is falling behind master causing stale reads. Restarting the system did not resolve the problem.,Server / Infrastructure,Database Issue,HIGH,Infrastructure
Outlook search indexing not returning emails,Searching for customer emails in Outlook returns zero results or incomplete list.,Email,Outlook Problem,MEDIUM,Email Support
VPN disconnects every 10 minutes,GlobalProtect / AnyConnect keeps dropping every few minutes disrupting remote desktop.,Network,VPN,HIGH,Network Support
Jira and Confluence project space permissions,Need edit permissions in Jira project board SRE and team documentation space.,Account & Access,Access Request,MEDIUM,IT Helpdesk
Issue started this morning. NodeJS and Git installation approval,Requesting admin privilege or Software Center deployment of Node.js v20 LTS. Restarting the system did not resolve the problem.,Software,Software Installation,LOW,Software Support
Urgent assistance required: SSO login loop on Okta / Azure AD,Attempting to login to internal portal keeps redirecting back to login screen in a loop. Error code was captured in screenshot.,Account & Access,Login Problem,HIGH,IT Helpdesk
Urgent assistance required: Suspicious CEO gift card request email,Email purporting to be from CEO asking for employee cell phone numbers. Error code was captured in screenshot.,Email,Spam,HIGH,Email Support
Unknown PowerShell script executing in background,EDR software alerted on encoded PowerShell command execution under user profile.,Security,Malware,CRITICAL,Security
Please assist urgently. High network latency in design studio,"Ping times to internal file server spiked to 600ms, impacting video editing. This is blocking my daily tasks.",Network,Internet Connectivity,HIGH,Network Support
Help needed: AutoCAD freezing on startup splash screen,AutoCAD 2024 hangs at 'Checking license...' and then terminates silently. Kindly look into this as soon as possible.,Software,Application Crash,HIGH,Software Support
FYI for the helpdesk team. WiFi adapter not recognized in laptop,Windows Device Manager shows a yellow exclamation mark next to Intel WiFi 6 AX201. Multiple teammates are experiencing this as well.,Network,WiFi,MEDIUM,Network Support
Escalation: MFA phone number change request,Changed phone number and cannot receive SMS verification codes for corporate portal. Impacting ongoing customer deliverables.,Account & Access,MFA,MEDIUM,IT Helpdesk
VPN certificate expired,Error message says client certificate has expired and needs renewal from network admin.,Network,VPN,MEDIUM,Network Support
Please assist urgently. Mailbox full quota exceeded error,Cannot receive new incoming emails because mailbox has reached 50 GB limit. This is blocking my daily tasks.,Email,Email Not Receiving,MEDIUM,Email Support
FYI for the helpdesk team. MFA phone number change request,Changed phone number and cannot receive SMS verification codes for corporate portal. Multiple teammates are experiencing this as well.,Account & Access,MFA,HIGH,IT Helpdesk
DNS lookup failed for external domains,Can ping 8.8.8.8 directly by IP but cannot resolve google.com or office.com.,Network,Internet Connectivity,HIGH,Network Support
Escalation: Active Directory domain controller replication failed,DC02 is failing Kerberos authentication and replication sync with primary DC01. Impacting ongoing customer deliverables.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Need immediate help with this. Excel crashing when opening financial report,Opening large 50MB spreadsheet causes Excel to crash with Exception code 0xc0000005. Occurred right after rebooting.,Software,Application Crash,CRITICAL,Software Support
Production Linux server unreachable via SSH or ping,Webserver prod-web-01 stopped responding to health checks 10 minutes ago.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Help needed: Alert: Login to my corporate account from Russia / Unknown location,Received Microsoft security alert about successful login from unfamiliar IP address. Kindly look into this as soon as possible.,Security,Suspicious Login,CRITICAL,Security
Need immediate help with this. Unable to connect to office WiFi,My laptop sees the Corp-WiFi SSID but fails to obtain an IP address via DHCP. Occurred right after rebooting.,Network,WiFi,MEDIUM,Network Support
Urgent assistance required: Active Directory domain controller replication failed,DC02 is failing Kerberos authentication and replication sync with primary DC01. Error code was captured in screenshot.,Server / Infrastructure,Server Down,HIGH,Infrastructure
External monitor flickering continuously,Dell 27-inch monitor flickers black every 5 seconds over HDMI and DisplayPort.,Hardware,Monitor,LOW,Hardware Support
FYI for the helpdesk team. JetBrains IntelliJ IDEA license key expired,License server says no floating licenses available for IntelliJ Ultimate. Multiple teammates are experiencing this as well.,Software,License Issue,MEDIUM,Software Support
Urgent assistance required: Total datacenter power loss / UPS failure in Server Room B,Main power feed tripped; backup generator engaged but UPS A did not switch cleanly. Error code was captured in screenshot.,Server / Infrastructure,System Outage,HIGH,Infrastructure
Account locked after 3 invalid attempts,My domain account is locked out across all workstations and SSO services.,Account & Access,Login Problem,HIGH,IT Helpdesk
WiFi captive portal not appearing,"When connecting to the guest wireless network, the captive portal login page does not load.",Network,WiFi,HIGH,Network Support
FYI for the helpdesk team. Floor 2 HP LaserJet paper jam error 13.00,Paper is stuck in tray 2 and the printer display says Jam in Cartridge Area. Multiple teammates are experiencing this as well.,Hardware,Printer,LOW,Hardware Support
JetBrains IntelliJ IDEA license key expired,License server says no floating licenses available for IntelliJ Ultimate.,Software,License Issue,MEDIUM,Software Support
Help needed: Mailbox full quota exceeded error,Cannot receive new incoming emails because mailbox has reached 50 GB limit. Kindly look into this as soon as possible.,Email,Email Not Receiving,HIGH,Email Support
FYI for the helpdesk team. No internet access on workstation,"Ethernet cable is plugged in, link lights are on, but cannot browse any websites. Multiple teammates are experiencing this as well.",Network,Internet Connectivity,MEDIUM,Network Support
Please assist urgently. WiFi captive portal not appearing,"When connecting to the guest wireless network, the captive portal login page does not load. This is blocking my daily tasks.",Network,WiFi,MEDIUM,Network Support
Cannot send email to distribution list,Getting error: 'You don't have permission to send to this distribution group.',Email,Email Not Sending,MEDIUM,Email Support
Laptop battery swollen and pushing touchpad,The chassis of my ThinkPad is bulging and the trackpad cannot be clicked. Urgent safety hazard.,Hardware,Laptop,HIGH,Hardware Support
Escalation: Microsoft 365 license expired notification,Word and PowerPoint are showing 'Unlicensed Product' banner and disabled editing. Impacting ongoing customer deliverables.,Software,License Issue,MEDIUM,Software Support
Microsoft 365 license expired notification,Word and PowerPoint are showing 'Unlicensed Product' banner and disabled editing.,Software,License Issue,MEDIUM,Software Support
Please assist urgently. Slow WiFi speeds on 4th floor,Speed test shows under 2 Mbps across the entire marketing floor WiFi access points. This is blocking my daily tasks.,Network,WiFi,MEDIUM,Network Support
Please assist urgently. Cannot connect to corporate VPN,Unable to establish VPN connection from home. It says handshake failed or connection timed out. This is blocking my daily tasks.,Network,VPN,HIGH,Network Support
FYI for the helpdesk team. Laptop keyboard spacebar and enter key broken,Several keys on the built-in keyboard are unresponsive or falling off. Multiple teammates are experiencing this as well.,Hardware,Laptop,MEDIUM,Hardware Support
Please assist urgently. Offsite cloud backup replication sync error,AWS S3 glacier lifecycle replication job timed out with network error. This is blocking my daily tasks.,Server / Infrastructure,Backup,HIGH,Infrastructure
DNS lookup failed for external domains,Can ping 8.8.8.8 directly by IP but cannot resolve google.com or office.com.,Network,Internet Connectivity,CRITICAL,Network Support
Escalation: Outlook OST data file corrupt error,Error message: 'The file C:\Users\user\AppData\outlook.ost cannot be accessed.' Impacting ongoing customer deliverables.,Email,Outlook Problem,HIGH,Email Support
FYI for the helpdesk team. Spear phishing targeting executive assistant,Attacker attempting wire transfer authorization using spoofed CFO email header. Multiple teammates are experiencing this as well.,Security,Phishing,HIGH,Security
Urgent assistance required: Cannot access internal git server through VPN,VPN is connected with green status but I cannot ping or clone from gitlab.internal. Error code was captured in screenshot.,Network,VPN,HIGH,Network Support
FYI for the helpdesk team. Chrome browser update failed with error 7,Chrome cannot update to latest security release on enterprise workstation. Multiple teammates are experiencing this as well.,Software,Update Issue,MEDIUM,Software Support
Printer out of toner cartridge black,Printing documents comes out faint and streaked. Need replacement black toner.,Hardware,Printer,LOW,Hardware Support
Escalation: DNS lookup failed for external domains,Can ping 8.8.8.8 directly by IP but cannot resolve google.com or office.com. Impacting ongoing customer deliverables.,Network,Internet Connectivity,HIGH,Network Support
Urgent assistance required: Alert: Login to my corporate account from Russia / Unknown location,Received Microsoft security alert about successful login from unfamiliar IP address. Error code was captured in screenshot.,Security,Suspicious Login,CRITICAL,Security
Help needed: VPN tunnel blocked by home ISP,My ISP appears to be throttling UDP port 4500 and VPN won't establish tunnel. Kindly look into this as soon as possible.,Network,VPN,HIGH,Network Support
Suspicious CEO gift card request email,Email purporting to be from CEO asking for employee cell phone numbers.,Email,Spam,MEDIUM,Email Support
Urgent assistance required: High network latency in design studio,"Ping times to internal file server spiked to 600ms, impacting video editing. Error code was captured in screenshot.",Network,Internet Connectivity,CRITICAL,Network Support
Escalation: Internal DNS not resolving intranet portals,Attempts to navigate to intranet.company.local result in DNS_PROBE_FINISHED_NXDOMAIN. Impacting ongoing customer deliverables.,Network,DNS,MEDIUM,Network Support
Help needed: Laptop screen cracked / black display,Accidentally dropped backpack and the screen has rainbow lines and cracked LCD. Kindly look into this as soon as possible.,Hardware,Laptop,MEDIUM,Hardware Support
Figma enterprise seat license request,Need editor access to team design files in Figma workspace.,Software,License Issue,HIGH,Software Support
Core switch stack failure in MDF room,Cisco core switch stack member 1 went offline cutting off all VLAN routing.,Server / Infrastructure,System Outage,HIGH,Infrastructure
Please assist urgently. Slow WiFi speeds on 4th floor,Speed test shows under 2 Mbps across the entire marketing floor WiFi access points. This is blocking my daily tasks.,Network,WiFi,MEDIUM,Network Support
Need immediate help with this. Floor 2 HP LaserJet paper jam error 13.00,Paper is stuck in tray 2 and the printer display says Jam in Cartridge Area. Occurred right after rebooting.,Hardware,Printer,MEDIUM,Hardware Support
Help needed: Outlook stuck on 'Loading Profile' splash,Outlook desktop client does not open past the profile loading screen. Kindly look into this as soon as possible.,Email,Outlook Problem,MEDIUM,Email Support
FYI for the helpdesk team. Stale DNS records for staging server,DNS still points to the old decommissioned IP address 10.0.5.21. Multiple teammates are experiencing this as well.,Network,DNS,MEDIUM,Network Support
Need immediate help with this. Figma enterprise seat license request,Need editor access to team design files in Figma workspace. Occurred right after rebooting.,Software,License Issue,MEDIUM,Software Support
